title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,Ground Clearance,Seating Capacity,Drive Type,Length,No. of Airbags,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC,Global NCAP Safety Rating,Top Speed
2017 Ford Ecosport 1.5 Petrol Titanium BSIV,₹5.45 Lakh,"Andheri East, Mumbai",Jul 2017,Comprehensive,Petrol,5 Seats,"14,000 Kms",Thane,Second Owner,1497 cc,Manual,2017,1497 cc,121.31 bhp,17 kmpl,,200mm,,FWD,,,,,,,,,
2023 Tata Altroz XZ,₹8.40 Lakh,"Chembur, Mumbai",Dec 2023,Comprehensive,Petrol,5 Seats,"4,684 Kms",panvel,First Owner,1199 cc,Manual,2023,1199 cc,86.79 bhp,19.33 kmpl,Petrol,,,,,,345 Litres,,,,,5 Star,
2015 Hyundai Verna 1.6 SX VTVT (O),₹4.49 Lakh,Mira Road,Feb 2015,Comprehensive,Petrol,5 Seats,"39,000 Kms",Mumbai,Second Owner,1591 cc,Manual,2015,1591 cc,121.3 bhp,17.1 kmpl,Petrol,,,,,,,,,,,,
2020 Hyundai Venue SX Plus Turbo DCT,₹9.31 Lakh,"Ghatkopar West, Mumbai",Aug 2020,Expired,Petrol,5 Seats,"36,074 Kms",Mumbai,First Owner,998 cc,Automatic,2020,998 cc,118.35 bhp,18.15 kmpl,Petrol,,,FWD,,,,,,,,,
2015 Hyundai Grand i10 1.2 Kappa Asta,₹4.10 Lakh,"West, Thane",Mar 2015,Comprehensive,Petrol,5 Seats,"24,373 Kms",Navi Mumbai,First Owner,1197 cc,Manual,2015,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2013 Hyundai i10 Sportz,₹2.74 Lakh,"Borivali West, Mumbai",May 2013,Expired,Petrol,5 Seats,"57,239 Kms",Thane,Second Owner,1197 cc,Manual,2013,1197 cc,78.9 bhp,20.36 kmpl,Petrol,,,,3585mm,,,,,,,,
2017 Hyundai Grand i10 1.2 Kappa Asta,₹4.65 Lakh,"Dadar, Mumbai",Oct 2017,Comprehensive,Petrol,5 Seats,"41,736 Kms",Mumbai,First Owner,1197 cc,Manual,2017,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2023 Hyundai Creta SX,₹13.50 Lakh,"Andheri, Mumbai",Mar 2023,Comprehensive,Petrol,5 Seats,"42,000 Kms",Mumbai,First Owner,1497 cc,Manual,2023,1497 cc,113.18 bhp,17 kmpl,Petrol,,5,2WD,,,,,,,,,
2019 Tata Tiago XZA Plus,₹5.15 Lakh,"Borivali West, Mumbai",Dec 2019,Expired,Petrol,5 Seats,"8,925 Kms",Mumbai,First Owner,1199 cc,Automatic,2019,1199 cc,83.83 bhp,23.84 kmpl,Petrol,,,,,2,,,,,,,
2016 Hyundai Grand i10 Sportz,₹3.32 Lakh,"Goregaon East, Mumbai",Oct 2016,Third Party,Petrol,5 Seats,"60,868 Kms",Mumbai,First Owner,1197 cc,Manual,2016,1197 cc,82 bhp,18.9 kmpl,Petrol,,,,3765mm,,,,,,,,
2021 Renault Triber RXT,₹5.16 Lakh,"Goregaon East, Mumbai",Nov 2021,Expired,Petrol,7 Seats,"72,836 Kms",Thane,First Owner,999 cc,Manual,2021,999 cc,71.01 bhp,20 kmpl,Petrol,,7,,,,,,,,,4 Star,
2017 Tata Tiago 1.2 Revotron XZ,₹4.25 Lakh,"Kalwa, Thane",Apr 2017,Comprehensive,Petrol,5 Seats,"54,000 Kms",panvel,First Owner,1199 cc,Manual,2017,1199 cc,84 bhp,23.84 kmpl,Petrol,,,,3746mm,,,,,,,,
2018 Audi Q5 35TDI Technology,₹36.95 Lakh,"Matunga West, Mumbai",Mar 2018,Comprehensive,Diesel,5 Seats,"18,000 Kms",Mumbai,First Owner,1968 cc,Automatic,2018,1968 cc,188 bhp,,Diesel,,,AWD,,,,,,,,,218 kmph
2016 Honda City i VTEC CVT SV,₹4.90 Lakh,"West, Thane",Oct 2016,Expired,Petrol,5 Seats,"79,123 Kms",Thane,First Owner,1497 cc,Automatic,2016,1497 cc,117.3 bhp,18 kmpl,Petrol,,,,,,,,,,,,
2017 Honda City i VTEC V,₹6.65 Lakh,"Andheri West, Mumbai",Jun 2017,Expired,Petrol,5 Seats,"67,000 Kms",Mumbai,First Owner,1497 cc,Manual,2017,1497 cc,117.3 bhp,17.8 kmpl,Petrol,,,,,,,,,,,,
2018 Maruti Swift Dzire AMT VXI,₹6.13 Lakh,"Mulund West, Mumbai",Mar 2018,Comprehensive,Petrol,5 Seats,"32,762 Kms",Mumbai,Second Owner,1197 cc,Automatic,2018,1197 cc,81.80 bhp,21.21 kmpl,Petrol,,,,,2,,,,,,,
2023 MG Hector 1.5 Turbo Savvy Pro CVT BSVI,₹19.90 Lakh,"Andheri East, Mumbai",Apr 2023,Comprehensive,Petrol,5 Seats,"18,000 Kms",230B,First Owner,1451 cc,Automatic,2023,1451 cc,141 bhp,12.34 kmpl,,192mm,5,FWD,,,,,,,,,
2023 Mahindra XUV300 W6 Diesel,₹8.75 Lakh,"West, Thane",Aug 2023,Comprehensive,Diesel,5 Seats,"18,347 Kms",Thane,First Owner,1497 cc,Manual,2023,1497 cc,115.05 bhp,,Diesel,,,FWD,,2,,,,,,5 Star,
2013 Maruti Swift Dzire ZXI,₹4.25 Lakh,"Mira Road East, Mumbai",Nov 2013,Expired,Petrol,5 Seats,"81,000 Kms",Thane,First Owner,1197 cc,Manual,2013,1197 cc,85.8 bhp,19.1 kmpl,Petrol,,,,,,,,,,,,
2023 Maruti Baleno Delta,₹7.50 Lakh,"Chembur, Mumbai",Apr 2023,Comprehensive,Petrol,5 Seats,"16,000 Kms",Mumbai,First Owner,1197 cc,Manual,2023,1197 cc,88.50 bhp,22.35 kmpl,Petrol,,,,,,318 Litres,,,,,,
2020 Hyundai Venue SX Turbo,₹8 Lakh,"Navi, Mumbai",Aug 2020,Comprehensive,Petrol,5 Seats,"66,500 Kms",Thane,First Owner,998 cc,Manual,2020,998 cc,118.35 bhp,18.27 kmpl,Petrol,,,FWD,,,,,,,,,
2017 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.06 Lakh,"Ghatkopar West, Mumbai",Mar 2017,Comprehensive,Petrol,5 Seats,"29,883 Kms",Mumbai,First Owner,1197 cc,Manual,2017,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2018 Toyota Yaris G CVT,₹6.60 Lakh,"Prabhadevi, Mumbai",May 2018,Expired,Petrol,5 Seats,"78,156 Kms",Mumbai,First Owner,1496 cc,Automatic,2018,1496 cc,105.94 bhp,17.8 kmpl,Petrol,,,,,3,,,,,,,
2015 Honda City i VTEC CVT VX,₹5.50 Lakh,"Mulund West, Mumbai",Jul 2015,Comprehensive,Petrol,5 Seats,"61,000 Kms",Mumbai,First Owner,1497 cc,Automatic,2015,1497 cc,117.3 bhp,18 kmpl,Petrol,,,,,,,,,,,,
2016 Honda City i VTEC V,₹5.35 Lakh,"Ins Hamla, Mumbai",Nov 2016,Comprehensive,Petrol,5 Seats,"65,000 Kms",Mumbai,Second Owner,1497 cc,Manual,2016,1497 cc,117.3 bhp,17.8 kmpl,Petrol,,,,,,,,,,,,
2022 Maruti Celerio ZXI,₹5.06 Lakh,"Navi, Mumbai",Mar 2022,Comprehensive,Petrol,5 Seats,"22,744 Kms",Mumbai,First Owner,998 cc,Manual,2022,998 cc,67.05 bhp,21.63 kmpl,Petrol,,,,,1,,,,,,,
2018 Maruti Baleno 1.2 Zeta,₹5.50 Lakh,"Borivali West, Mumbai",Dec 2018,Expired,Petrol,5 Seats,"27,310 Kms",Mumbai,First Owner,1197 cc,Manual,2018,1197 cc,83.1 bhp,21.4 kmpl,Petrol,,,,3995mm,,,,,,,,
