title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Ground Clearance,Power,Mileage,Fuel,Drive Type,Seating Capacity,No. of Airbags,Length,Global NCAP Safety Rating,Top Speed,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC
2013 BMW X1 sDrive20d,₹12.75 Lakh,"Pashan, Pune",Jun 2014,Expired,Diesel,5 Seats,"89,524 Kms",Pimpri chinchwad,Second Owner,1995 cc,Automatic,2013,1995 cc,,184 bhp,,Diesel,RWD,5,,,,205 kmph,,,,,
2021 MG Hector Sharp Diesel MT,₹14 Lakh,"Hadapsar, Pune",Mar 2021,Comprehensive,Diesel,5 Seats,"8,00,000 Kms",Pune,First Owner,1956 cc,Manual,2021,1956 cc,192mm,167.68 bhp,13 kmpl,,FWD,5,,,,,,,,,
2014 Volkswagen Jetta 1.4 TSI Comfortline,₹4.99 Lakh,"Yerwada, Pune",Jan 2015,Comprehensive,Petrol,5 Seats,"99,000 Kms",Mumbai,First Owner,1390 cc,Manual,2014,1390 cc,,120.3 bhp,14.69 kmpl,Petrol,,,,,,,,,,,
2017 Hyundai EON Magna,₹2.54 Lakh,"Hadapsar, Pune",Sept 2017,Comprehensive,Petrol,5 Seats,"70,422 Kms",Solapur,Third Owner,814 cc,Manual,2017,814 cc,,,22 kmpl,Petrol,,,,3495 mm,,,,,,,
2019 Maruti Baleno Zeta,₹6.50 Lakh,"R P T S Khandala, Pune",Oct 2019,Third Party,Petrol,5 Seats,"41,100 Kms",Thane,First Owner,1197 cc,Manual,2019,1197 cc,,81.80 bhp,21.01 kmpl,Petrol,,,2,,,,,,,,
2013 Ford Ecosport 1.5 DV5 MT Titanium,₹2.80 Lakh,Pune,2013,Expired,Diesel,5 Seats,"90,000 Kms",vasai,Third Owner,1498 cc,Manual,2013,1498 cc,200mm,89.84 bhp,22.7 kmpl,,FWD,,,,,,,,,,
2015 Toyota Fortuner 4x4 MT,₹14.25 Lakh,"Market Yard, Pune",Jul 2015,Expired,Diesel,7 Seats,"2,25,000 Kms",Pune,First Owner,2982 cc,Manual,2015,2982 cc,220mm,168.5 bhp,12.55 kmpl,,4WD,7,,,,,,,,,
2017 Hyundai Grand i10 1.2 Kappa Asta,₹4.89 Lakh,"Hadapsar, Pune",Sept 2017,Comprehensive,Petrol,5 Seats,"47,443 Kms",Pune,First Owner,1197 cc,Manual,2017,1197 cc,,81.86 bhp,18.9 kmpl,Petrol,,,2,,,,,,,,
2017 Hyundai i20 Asta 1.2,₹6.40 Lakh,"Pashan, Pune",May 2017,Expired,Petrol,5 Seats,"58,000 Kms",Pune,First Owner,1197 cc,Manual,2017,1197 cc,,81.83 bhp,18.6 kmpl,Petrol,,,,3985mm,,,,,,,
2023 Toyota Innova Hycross ZX Hybrid,₹34 Lakh,"Undri, Pune",Jun 2023,Comprehensive,Petrol,7 Seats,"21,000 Kms",Pune,First Owner,1987 cc,Automatic,2023,1987 cc,,183.72 bhp,,Petrol,,"7, 8",6,,,,,,,,
2019 Ford Ecosport Titanium,₹7.90 Lakh,"Wakad, Pune",Oct 2019,Comprehensive,Petrol,5 Seats,"35,178 Kms",Pune,First Owner,1496 cc,Manual,2019,1496 cc,,120.69 bhp,15.9 kmpl,Petrol,FWD,,,,,,,,,,
2015 Hyundai Xcent 1.2 Kappa S Option,₹4.21 Lakh,Pune,2015,Expired,Petrol,5 Seats,"35,000 Kms",Pimpri chinchwad,First Owner,1197 cc,Manual,2015,1197 cc,,81.86 bhp,19.1 kmpl,Petrol,,,,,,,,,,,
2015 Honda Jazz 1.5 SV i DTEC,₹4.41 Lakh,"Yerwada, Pune",Nov 2015,Comprehensive,Diesel,5 Seats,"58,000 Kms",Pune,First Owner,1498 cc,Manual,2015,1498 cc,,98.6 bhp,27.3 kmpl,Diesel,,,,3955mm,,,,,,,
2006 Maruti Alto 800 LXi BSIII,₹100 Thousand,"Pashan, Pune",Oct 2006,Expired,Petrol,5 Seats,"96,000 Kms",Pimpri chinchwad,First Owner,796 cc,Manual,2006,,,,,,,,,,,,,,,,
2022 Kia Seltos HTX G,₹11.70 Lakh,"Wakad, Pune",Sept 2022,Comprehensive,Petrol,5 Seats,"81,147 Kms",Pimpri chinchwad,First Owner,1497 cc,Manual,2022,1497 cc,,113.43 bhp,16.8 kmpl,Petrol,FWD,5,,,,,,,,,
2014 Maruti Wagon R LXI CNG,₹3.70 Lakh,"Sadashiv Peth, Pune",Apr 2014,Third Party,CNG,5 Seats,"61,000 Kms",Pimpri chinchwad,First Owner,998 cc,Manual,2014,998 cc,,58.16 bhp,26.6 km/kg,CNG,,,,3599mm,,,,,,,
2017 Audi Q7 40 TFSI Quattro,₹31.50 Lakh,"Baner, Pune",Mar 2018,Expired,Petrol,7 Seats,"93,700 Kms",Navi Mumbai,First Owner,1984 cc,Automatic,2017,,,,,,,,,,,,,,,,
2013 Honda Brio S MT,₹2.80 Lakh,"Kothrud, Pune",Sept 2013,Expired,Petrol,5 Seats,"38,000 Kms",Pune,Second Owner,1198 cc,Manual,2013,1198 cc,,86.8 bhp,19.4 kmpl,Petrol,,,,3610mm,,,,,,,
2017 Honda Amaze E i-DTEC,₹4.65 Lakh,"Rahatani, Pune",Mar 2017,Comprehensive,Diesel,5 Seats,"86,001 Kms",Pune,Second Owner,1498 cc,Manual,2017,1498 cc,,98.6 bhp,25.8 kmpl,Diesel,,,,,,,,,,,
2015 Maruti Wagon R VXI BS IV,₹3.65 Lakh,"Wakad, Pune",May 2015,Third Party,Petrol,5 Seats,"90,000 Kms",Ahmednagar,First Owner,998 cc,Manual,2015,998 cc,,67.04 bhp,20.51 kmpl,Petrol,,,,3599mm,,,,,,,
2017 Tata Tiago 1.2 Revotron XZ,₹4.44 Lakh,"Wakad, Pune",Oct 2017,Comprehensive,Petrol,5 Seats,"24,181 Kms",Pune,First Owner,1199 cc,Manual,2017,1199 cc,,84 bhp,23.84 kmpl,Petrol,,,,3746mm,,,,,,,
2014 Volkswagen Vento 1.2 TSI Highline AT,₹4.75 Lakh,"Bavdhan, Pune",Jul 2014,Expired,Petrol,5 Seats,"61,000 Kms",panvel,First Owner,1197 cc,Automatic,2014,,,,,,,,,,,,,,,,
2019 Maruti Celerio ZXI,₹4.30 Lakh,"Wakad, Pune",Aug 2019,Comprehensive,Petrol,5 Seats,"66,673 Kms",Pimpri chinchwad,Second Owner,998 cc,Manual,2019,998 cc,,67.05 bhp,21.63 kmpl,Petrol,,,1,,,,,,,,
2019 Renault KWID Climber 1.0 MT,₹3.96 Lakh,"Hadapsar, Pune",May 2019,Comprehensive,Petrol,5 Seats,"13,657 Kms",Pune,Second Owner,999 cc,Manual,2019,999 cc,,67 bhp,23.01 kmpl,Petrol,,,1,,,,,,,,
2013 Toyota Etios G,₹3.35 Lakh,"Kharadi, Pune",Aug 2013,Third Party,Petrol,5 Seats,"67,820 Kms",Pune,First Owner,1496 cc,Manual,2013,1496 cc,,88.73 bhp,16.78 kmpl,Petrol,,,,,,,,,,,
2019 Hyundai Venue S Turbo BSIV,₹6.75 Lakh,Pune,2019,Expired,Petrol,5 Seats,"40,000 Kms",Pimpri chinchwad,First Owner,998 cc,Manual,2019,998 cc,,118.35 bhp,18.27 kmpl,Petrol,FWD,,,,,,,,,,
2012 Volkswagen Vento Diesel Highline,₹3.45 Lakh,"Rahatani, Pune",Apr 2012,Expired,Diesel,5 Seats,"65,000 Kms",Mumbai,First Owner,1598 cc,Manual,2012,1598 cc,,103.6 bhp,20.54 kmpl,Diesel,,,,,,,,,,,
2016 Nissan Terrano XL P,₹4.89 Lakh,"Hadapsar, Pune",Feb 2017,Comprehensive,Petrol,5 Seats,"44,506 Kms",Pune,First Owner,1598 cc,Manual,2016,,,,,,,,,,,,,,,,
2017 Hyundai Verna 1.6 VTVT SX Option,₹8.65 Lakh,"Loni Kalbhor, Pune",Sept 2017,Comprehensive,Petrol,5 Seats,"1,06,000 Kms",Pune,First Owner,1591 cc,Manual,2017,1591 cc,,121.3 bhp,17.01 kmpl,Petrol,,,,,,,,,,,
2010 Hyundai i10 Sportz 1.2 AT,₹2.25 Lakh,"Market Yard, Pune",Jan 2011,Comprehensive,Petrol,5 Seats,"54,000 Kms",Pune,First Owner,1197 cc,Automatic,2010,1197 cc,,78.9 bhp,16.95 kmpl,Petrol,,,,3585mm,,,,,,,
2022 Tata Tigor 1.2 Revotron XZ,₹6.81 Lakh,"Wakad, Pune",Feb 2022,Comprehensive,Petrol,5 Seats,"24,299 Kms",Pune,First Owner,1199 cc,Manual,2022,1199 cc,,84 bhp,20.3 kmpl,Petrol,,,,,,,,,,,
