title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Seating Capacity,Drive Type,Mileage,Fuel,No. of Airbags,Length,Ground Clearance,Top Speed,Range,Battery Capacity,Charging Time DC,Charging Time AC,Regenerative Braking Levels,Boot Space,Global NCAP Safety Rating
2018 Mercedes-Benz GLE 350d,₹49.50 Lakh,Chennai,2018,Expired,Diesel,5 Seats,"70,000 Kms",Dharmapuri,Third Owner,2987 cc,Automatic,2018,2987 cc,254.79 bhp,,AWD,,Diesel,,,,225 kmph,,,,,,,
2017 Maruti Alto 800 LXI,₹2.88 Lakh,"Ganapathipuram, Chennai",Dec 2017,Comprehensive,Petrol,5 Seats,"53,140 Kms",Poonamallee,First Owner,796 cc,Manual,2017,796 cc,47.33 bhp,,,22.05 kmpl,Petrol,1,,,,,,,,,,
2018 Maruti Celerio ZXI AMT BSIV,₹4.75 Lakh,"Kovilambakkam, Chennai",Mar 2019,Comprehensive,Petrol,5 Seats,"29,000 Kms",Chennai,First Owner,998 cc,Automatic,2018,998 cc,67.04 bhp,,,23.1 kmpl,Petrol,1,,,,,,,,,,
2019 Renault KWID 1.0 AMT RXT,₹3.46 Lakh,"Vadapalani, Chennai",Jan 2020,Comprehensive,Petrol,5 Seats,"44,001 Kms",red hills,Second Owner,999 cc,Automatic,2019,999 cc,67 bhp,,,24.04 kmpl,Petrol,1,,,,,,,,,,
2021 Hyundai Creta S BSVI,₹11.90 Lakh,"Medavakkam, Chennai",Feb 2021,Comprehensive,Petrol,5 Seats,"26,000 Kms",Chennai,First Owner,1497 cc,Manual,2021,1497 cc,113.18 bhp,5,,,Petrol,6,,,,,,,,,,
2017 Honda Jazz 1.2 V AT i VTEC,₹5.38 Lakh,"Thiruverkadu, Chennai",Jun 2017,Comprehensive,Petrol,5 Seats,"36,326 Kms",Chennai,First Owner,1199 cc,Automatic,2017,1199 cc,88.7 bhp,,,19 kmpl,Petrol,,3955mm,,,,,,,,,
2021 Hyundai Creta SX Diesel AT BSVI,₹15.50 Lakh,"Ashoknagar, Chennai",May 2021,Comprehensive,Diesel,5 Seats,"70,000 Kms",Chennai,First Owner,1493 cc,Automatic,2021,1493 cc,113.42 bhp,5,FWD,18.5 kmpl,Diesel,,,,,,,,,,,
2019 Mahindra XUV500 W11 BSIV,₹14.75 Lakh,"Anna Nagar West Extension, Chennai",May 2019,Comprehensive,Diesel,7 Seats,"85,000 Kms",Chennai,First Owner,2179 cc,Manual,2019,2179 cc,152.87 bhp,7,FWD,15.1 kmpl,,,,200mm,,,,,,,,
2017 Honda Jazz S,₹4.61 Lakh,"Vadapalani, Chennai",Dec 2017,Comprehensive,Petrol,5 Seats,"52,449 Kms",Chennai,Second Owner,1198 cc,Manual,2017,1198 cc,,,,16 kmpl,Petrol,,3900mm,,,,,,,,,
2018 Mahindra Xylo D4,₹4.80 Lakh,Chennai,2018,Expired,Diesel,7 Seats,"80,000 Kms",Chennai,First Owner,2489 cc,Manual,2018,2489 cc,93.7 bhp,8,,14.95 kmpl,Diesel,,,,,,,,,,,
2020 Hyundai Verna SX Diesel,₹8.95 Lakh,"Vadapalani, Chennai",Aug 2020,Comprehensive,Diesel,5 Seats,"79,087 Kms",Melur,First Owner,1493 cc,Manual,2020,1493 cc,113.45 bhp,,,25 kmpl,Diesel,2,,,,,,,,,,
2021 Tata Altroz XZ,₹6.99 Lakh,"Airport, Chennai",Feb 2021,Comprehensive,Petrol,5 Seats,"23,103 Kms",Tenkasi,First Owner,1199 cc,Manual,2021,1199 cc,86.83 bhp,,,19.33 kmpl,Petrol,2,,,,,,,,,,
2020 Maruti Wagon R ZXI AMT 1.2,₹4.88 Lakh,"Thiruverkadu, Chennai",Dec 2020,Comprehensive,Petrol,5 Seats,"90,908 Kms",Chennai,First Owner,1197 cc,Automatic,2020,1197 cc,81.80 bhp,,,20.52 kmpl,Petrol,2,,,,,,,,,,
2022 Volkswagen Taigun 1.0 TSI Topline AT BSVI,₹15.50 Lakh,"Thygaraya Nagar, Chennai",Jun 2022,Expired,Petrol,5 Seats,"13,000 Kms",Chennai,First Owner,999 cc,Automatic,2022,999 cc,113.98 bhp,5,,18.41 kmpl,Petrol,,,188,,,,,,,,
2016 Maruti Celerio VXI AT Optional,₹3.85 Lakh,"Vadapalani, Chennai",Dec 2016,Expired,Petrol,5 Seats,"35,173 Kms",Chennai,First Owner,998 cc,Automatic,2016,998 cc,67.04 bhp,,,23.1 kmpl,Petrol,,3715mm,,,,,,,,,
2013 Chevrolet Beat Diesel,₹1.15 Lakh,Chennai,2013,Expired,Diesel,5 Seats,"1,50,000 Kms",Chennai,First Owner,936 cc,Manual,2013,936 cc,57.6 bhp,,,25.44 kmpl,Diesel,,3640mm,,,,,,,,,
2011 BMW X5 xDrive 30d,₹13.50 Lakh,"Ashoknagar, Chennai",Mar 2012,Comprehensive,Diesel,5 Seats,"1,70,000 Kms",Pondicherry,First Owner,2993 cc,Automatic,2011,2993 cc,245 bhp,,4WD,,Diesel,,,,222km/hr kmph,,,,,,,
2017 Renault KWID 1.0 AMT RXT,₹3.18 Lakh,"Vadapalani, Chennai",Dec 2017,Comprehensive,Petrol,5 Seats,"85,715 Kms",Pudukkottai,First Owner,999 cc,Automatic,2017,999 cc,67 bhp,,,24.04 kmpl,Petrol,1,,,,,,,,,,
2018 Maruti Alto 800 VXI,₹2.85 Lakh,"Velacheri, Chennai",Mar 2018,Expired,Petrol,5 Seats,"57,173 Kms",Chennai,First Owner,796 cc,Manual,2018,796 cc,47.3 bhp,,,24.7 kmpl,Petrol,,3430mm,,,,,,,,,
2013 Nissan Micra XL,₹2.95 Lakh,"MEENAMBAKKAM, Chennai",May 2014,Comprehensive,Petrol,5 Seats,"61,980 Kms",Chennai,First Owner,1198 cc,Manual,2013,1198 cc,75 bhp,,,18.44 kmpl,Petrol,,3825mm,,,,,,,,,
2015 Maruti Alto K10 VXI AMT,₹3.45 Lakh,"Anna Nagar West Extension, Chennai",Nov 2015,Comprehensive,Petrol,5 Seats,"39,500 Kms",Chennai,Second Owner,998 cc,Automatic,2015,998 cc,67.05 bhp,,,23.95 kmpl,Petrol,1,,,,,,,,,,
2021 Hyundai Venue SX Turbo iMT,₹9.18 Lakh,"Vadapalani, Chennai",Apr 2021,Comprehensive,Petrol,5 Seats,"7,125 Kms",Chennai,First Owner,998 cc,Manual,2021,998 cc,118.35 bhp,,FWD,18 kmpl,Petrol,,,,,,,,,,,
2012 Chevrolet Beat Diesel LS,₹2.20 Lakh,Chennai,2012,Expired,Diesel,5 Seats,"1,50,000 Kms",red hills,First Owner,936 cc,Manual,2012,,,,,,,,,,,,,,,,,
2025 Audi Q3 Premium Plus,₹43.80 Lakh,"Paltra, Gurgaon",Jan 2025,Expired,Petrol,5 Seats,101 Kms,Gurgaon,First Owner,1984 cc,Automatic,2025,1984 cc,187.74 bhp,5,AWD,10.14 kmpl,Petrol,,,,,,,,,,,
2013 Maruti Alto K10 2010-2014 VXI,₹2.40 Lakh,"Thygaraya Nagar, Chennai",Jan 2014,Comprehensive,Petrol,5 Seats,"67,793 Kms",Chennai,Second Owner,998 cc,Manual,2013,998 cc,67.1 bhp,,,20.92 kmpl,Petrol,,3620mm,,,,,,,,,
2016 Tata Tiago 1.2 Revotron XZ,₹3.25 Lakh,"MEENAMBAKKAM, Chennai",Jul 2016,Comprehensive,Petrol,5 Seats,"1,08,372 Kms",Chennai,First Owner,1199 cc,Manual,2016,1199 cc,84 bhp,,,23.84 kmpl,Petrol,,3746mm,,,,,,,,,
2019 Maruti S Cross Delta DDiS 200 SH,₹7.35 Lakh,Chennai,2019,Expired,Diesel,5 Seats,"70,000 Kms",Poonamallee,Second Owner,1248 cc,Manual,2019,1248 cc,88.5 bhp,,FWD,25.1 kmpl,,,,180mm,,,,,,,,
2008 Hyundai i10 Magna 1.2,₹1.91 Lakh,"Thygaraya Nagar, Chennai",Nov 2008,Comprehensive,Petrol,5 Seats,"84,521 Kms",Chennai,Second Owner,1197 cc,Manual,2008,1197 cc,78.9 bhp,,,20.36 kmpl,Petrol,,3585mm,,,,,,,,,
2023 Volkswagen Taigun 1.0 Topline,₹14.40 Lakh,"Vadapalani, Chennai",May 2023,Comprehensive,Petrol,5 Seats,"8,795 Kms",Coimbatore,First Owner,999 cc,Manual,2023,999 cc,113.98 bhp,5,FWD,19.2 kmpl,,,,188 mm,,,,,,,,5 Star
2022 Renault Triber RXT,₹6.18 Lakh,"Vadapalani, Chennai",Mar 2022,Third Party,Petrol,7 Seats,"47,535 Kms",Poonamallee,First Owner,999 cc,Manual,2022,999 cc,71.01 bhp,7,,20 kmpl,Petrol,,,,,,,,,,,4 Star
2016 Volvo XC 90 D5 Inscription,₹36 Lakh,"Ashoknagar, Chennai",May 2016,Comprehensive,Diesel,7 Seats,"1,20,000 Kms",Tirunelveli,Second Owner,1969 cc,Automatic,2016,1969 cc,235 bhp,7,AWD,17.2 kmpl,,,,238mm,,,,,,,,
2025 Audi Q3 Premium Plus,₹43.90 Lakh,"Paltra, Gurgaon",Jan 2025,Expired,Petrol,5 Seats,101 Kms,Gurgaon,First Owner,1984 cc,Automatic,2025,1984 cc,187.74 bhp,5,AWD,10.14 kmpl,Petrol,,,,,,,,,,,
2021 Renault KWID Climber 1.0 AMT Opt,₹4.16 Lakh,"Ganapathipuram, Chennai",Jul 2021,Comprehensive,Petrol,5 Seats,"51,652 Kms",Chennai,First Owner,999 cc,Automatic,2021,999 cc,67 bhp,,,22 kmpl,Petrol,2,,,,,,,,,,
2022 Renault KWID CLIMBER AMT BSVI,₹4.88 Lakh,"Ganapathipuram, Chennai",Jan 2023,Zero Dep,Petrol,5 Seats,"19,475 Kms",Chennai,First Owner,999 cc,Automatic,2022,999 cc,67.06 bhp,,,22.3 kmpl,Petrol,2,,,,,,,,,,
2020 Honda City ZX MT,₹12.31 Lakh,"Airport, Chennai",Nov 2020,Comprehensive,Petrol,5 Seats,"30,400 Kms",Chennai,First Owner,1498 cc,Manual,2020,1498 cc,119.35 bhp,,,18.6 kmpl,Petrol,6,,,,,,,,,,
