title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,No. of Airbags,Length,Seating Capacity,Drive Type,Top Speed,Ground Clearance,Boot Space,Global NCAP Safety Rating,Range,Battery Capacity,Charging Time DC,Charging Time AC
2016 Honda Amaze VX i-Vtech,₹3.51 Lakh,"Mumatpura, Ahmedabad",Aug 2016,Third Party,Petrol,5 Seats,"93,191 Kms",Ahmedabad,Second Owner,1198 cc,Manual,2016,1198 cc,86.7 bhp,18 kmpl,Petrol,,,,,,,,,,,,
2020 Renault Triber RXZ,₹4.73 Lakh,"Mumatpura, Ahmedabad",Dec 2020,Third Party,Petrol,7 Seats,"53,959 Kms",patan,First Owner,999 cc,Manual,2020,999 cc,71.01 bhp,20 kmpl,Petrol,,,7,,,,,4 Star,,,,
2020 Mahindra XUV300 W8 BSVI,₹8.75 Lakh,"Makarba, Ahmedabad",Aug 2020,Expired,Petrol,5 Seats,"89,000 Kms",Ahmedabad,First Owner,1197 cc,Manual,2020,1197 cc,108.62 bhp,16.82 kmpl,Petrol,2,,,,,,,,,,,
2018 Maruti Wagon R VXI 1.2,₹4.05 Lakh,"Gota, Ahmedabad",Jun 2018,Comprehensive,Petrol,5 Seats,"35,909 Kms",Ahmedabad,First Owner,1197 cc,Manual,2018,1197 cc,81.80 bhp,20.52 kmpl,Petrol,1,,,,,,,,,,,
2019 Hyundai Grand i10 1.2 Kappa Magna AT,₹4.30 Lakh,"Mumatpura, Ahmedabad",Jun 2019,Comprehensive,Petrol,5 Seats,"89,442 Kms",Anand,First Owner,1197 cc,Automatic,2019,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2023 Tata Nexon XM Diesel BSVI,₹7.75 Lakh,Ahmedabad,2023,Expired,Diesel,5 Seats,"90,000 Kms",Ahmedabad,First Owner,1497 cc,Manual,2023,,,,,,,,,,,,,,,,
2016 Maruti Baleno Zeta Diesel,₹5.11 Lakh,"Gota, Ahmedabad",Nov 2016,Comprehensive,Diesel,5 Seats,"32,543 Kms",Ahmedabad,First Owner,1248 cc,Manual,2016,1248 cc,74 bhp,27.39 kmpl,Diesel,2,,,,,,,,,,,
2019 Renault KWID RXL,₹2.41 Lakh,"Gota, Ahmedabad",May 2019,Comprehensive,Petrol,5 Seats,"85,966 Kms",Bharuch,Second Owner,799 cc,Manual,2019,,,,,,,,,,,,,,,,
2020 Maruti Vitara Brezza VXI AT,₹6.68 Lakh,"Mumatpura, Ahmedabad",Jun 2020,Comprehensive,Petrol,5 Seats,"53,636 Kms",Ahmedabad,Second Owner,1462 cc,Automatic,2020,1462 cc,103.26 bhp,18.76 kmpl,Petrol,,,,FWD,,,,,,,,
2016 Hyundai i20 Sportz 1.4 CRDi,₹4.73 Lakh,"Naroda, Ahmedabad",Oct 2016,Comprehensive,Diesel,5 Seats,"95,808 Kms",Ahmedabad,Second Owner,1396 cc,Manual,2016,1396 cc,88.73 bhp,22.54 kmpl,Diesel,,3985mm,,,,,,,,,,
2013 Hyundai i10 Magna,₹2 Lakh,Ahmedabad,2013,Expired,Petrol,5 Seats,"70,000 Kms",Ahmedabad,Second Owner,1197 cc,Manual,2013,1197 cc,78.9 bhp,20.36 kmpl,Petrol,,3585mm,,,,,,,,,,
2012 Mercedes-Benz S-Class S 350 CDI,₹8.75 Lakh,"Indirapuram, Ghaziabad",Jan 2014,Expired,Diesel,5 Seats,"87,000 Kms",Mumbai,First Owner,2987 cc,Automatic,2012,,,,,,,,,,,,,,,,
