title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,No. of Airbags,Length,Seating Capacity,Drive Type,Top Speed,Ground Clearance,Boot Space,Global NCAP Safety Rating,Range,Battery Capacity,Charging Time DC,Charging Time AC
2024 Maruti Swift ZXi Plus,₹8.45 Lakh,"Vasna, Ahmedabad",Jun 2024,Comprehensive,Petrol,5 Seats,"9,500 Kms",Rajkot,First Owner,1197 cc,Manual,2024,1197 cc,80.46 bhp,24.8 kmpl,Petrol,,,,,,,265 Litres,,,,,
2016 Mercedes-Benz C-Class C 200 CGI Avantgarde,₹25.90 Lakh,"Chattarpur, New Delhi",Jan 2016,Comprehensive,Petrol,5 Seats,"66,000 Kms",Noida,Second Owner,1796 cc,Automatic,2016,1796 cc,186 bhp,,Petrol,,,5,RWD,230km/hr kmph,,,,,,,
2022 Mahindra XUV700 AX5 7 Str BSVI,₹12.25 Lakh,Ahmedabad,2022,Expired,Petrol,7 Seats,"80,000 Kms",Gandhinagar,Third Owner,1999 cc,Manual,2022,1999 cc,197.13 bhp,13 kmpl,Petrol,,,"5, 6, 7",FWD,,,,,,,,
2017 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.32 Lakh,"Mumatpura, Ahmedabad",Jan 2018,Expired,Petrol,5 Seats,"76,987 Kms",Gandhinagar,First Owner,1197 cc,Manual,2017,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2017 Maruti Wagon R VXI Plus,₹3 Lakh,Ahmedabad,2017,Expired,Petrol,5 Seats,"80,000 Kms",,First Owner,998 cc,Manual,2017,998 cc,67.04 bhp,20.51 kmpl,Petrol,,3636mm,,,,,,,,,,
2015 Renault Duster 85PS Diesel RxE,₹4.30 Lakh,"Pada Pole Gandhi Road, Ahmedabad",Jun 2015,Third Party,Diesel,5 Seats,"68,000 Kms",Ahmedabad,First Owner,1461 cc,Manual,2015,,,,,,,,,,,,,,,,
2021 Maruti S-Presso VXI,₹4.37 Lakh,"Gota, Ahmedabad",Aug 2021,Comprehensive,Petrol,5 Seats,"9,787 Kms",Gandhinagar,First Owner,998 cc,Manual,2021,998 cc,65.71 bhp,24.76 kmpl,Petrol,,,,,,,240 Litres,,,,,
2013 Honda Brio S MT,₹2.60 Lakh,"Vasna, Ahmedabad",Mar 2013,Third Party,Petrol,5 Seats,"68,600 Kms",Ahmedabad,First Owner,1198 cc,Manual,2013,,,,,,,,,,,,,,,,
2018 Maruti Swift VXI,₹5.41 Lakh,"Naranpura Vistar, Ahmedabad",Nov 2018,Comprehensive,Petrol,5 Seats,"77,000 Kms",Veraval,First Owner,1197 cc,Manual,2018,1197 cc,81.80 bhp,21.21 kmpl,Petrol,2,,,,,,,,,,,
2022 Honda WR-V VX,₹8.90 Lakh,"Naranpura, Ahmedabad",Dec 2022,Comprehensive,Petrol,5 Seats,"18,000 Kms",Ahmedabad,First Owner,1199 cc,Manual,2022,1199 cc,88.50 bhp,16.5 kmpl,Petrol,2,,,,,,,,,,,
2020 Maruti Baleno Alpha Diesel,₹6.58 Lakh,"Gota, Ahmedabad",Aug 2020,Comprehensive,Diesel,5 Seats,"51,761 Kms",Ahmedabad,First Owner,1248 cc,Manual,2020,1248 cc,74 bhp,27.39 kmpl,Diesel,2,,,,,,,,,,,
2019 BMW 5 Series 520d Luxury Line,₹30 Lakh,Ahmedabad,2019,Expired,Diesel,5 Seats,"1,50,000 Kms",Ahmedabad,First Owner,1995 cc,Automatic,2019,1995 cc,187.74 bhp,,Diesel,,,,RWD,235 kmph,,,,,,,
2016 Maruti Vitara Brezza LDi,₹6.25 Lakh,"Naranpura Vistar, Ahmedabad",May 2016,Comprehensive,Diesel,5 Seats,"55,000 Kms",New Delhi,First Owner,1248 cc,Manual,2016,1248 cc,88.5 bhp,24.3 kmpl,,,,,FWD,,198mm,,,,,,
2017 Hyundai EON Era,₹2.72 Lakh,"Gota, Ahmedabad",Nov 2017,Comprehensive,Petrol,5 Seats,"63,619 Kms",Vadodara,First Owner,814 cc,Manual,2017,814 cc,55.2 bhp,21.1 kmpl,Petrol,,3495mm,,,,,,,,,,
2019 Mahindra XUV500 W7 BSIV,₹9.50 Lakh,"Naranpura, Ahmedabad",May 2019,Expired,Diesel,7 Seats,"62,000 Kms",Ahmedabad,First Owner,2179 cc,Manual,2019,2179 cc,152.87 bhp,15.1 kmpl,,,,7,FWD,,200mm,,,,,,
2015 Maruti Wagon R VXI BS IV,₹2.75 Lakh,"Chandkheda, Ahmedabad",Dec 2015,Third Party,Petrol,5 Seats,"1,30,000 Kms",Gandhidham,First Owner,998 cc,Manual,2015,998 cc,67.04 bhp,20.51 kmpl,Petrol,,3599mm,,,,,,,,,,
2017 Maruti Wagon R AMT VXI,₹3.99 Lakh,"Naroda, Ahmedabad",Aug 2017,Comprehensive,Petrol,5 Seats,"12,849 Kms",Ahmedabad,First Owner,998 cc,Automatic,2017,998 cc,67 bhp,20.51 kmpl,Petrol,,3599mm,,,,,,,,,,
2016 Honda City i VTEC V,₹5.50 Lakh,"Makarba, Ahmedabad",Nov 2016,Expired,Petrol,5 Seats,"80,000 Kms",Ahmedabad,First Owner,1497 cc,Manual,2016,1497 cc,117.3 bhp,17.8 kmpl,Petrol,,,,,,,,,,,,
2018 Tata Tiago 1.2 Revotron XT,₹3.80 Lakh,Ahmedabad,2018,Expired,Petrol,5 Seats,"40,000 Kms",Vadodara,Second Owner,1199 cc,Manual,2018,1199 cc,84 bhp,23.84 kmpl,Petrol,,3746mm,,,,,,,,,,
2021 Hyundai Venue S,₹7.90 Lakh,"Naranpura Vistar, Ahmedabad",Aug 2021,Comprehensive,Petrol,5 Seats,"35,000 Kms",Ahmedabad,First Owner,1197 cc,Manual,2021,1197 cc,81.86 bhp,17.52 kmpl,Petrol,,,,FWD,,,,,,,,
2017 Volkswagen Vento 1.5 TDI Highline AT,₹7 Lakh,"Gota, Ahmedabad",Jan 2018,Comprehensive,Diesel,5 Seats,"1,27,000 Kms",Ahmedabad,First Owner,1498 cc,Automatic,2017,1498 cc,108.6 bhp,22.15 kmpl,Diesel,,,,,,,,,,,,
2016 Ford Ecosport 1.5 TDCi Titanium BSIV,₹5.15 Lakh,"Naroda, Ahmedabad",Apr 2016,Third Party,Diesel,5 Seats,"70,926 Kms",Ahmedabad,Second Owner,1498 cc,Manual,2016,1498 cc,98.59 bhp,22.77 kmpl,,,,,FWD,,200mm,,,,,,
2013 Maruti Swift VXI,₹3 Lakh,Ahmedabad,2013,Expired,Petrol,5 Seats,"80,000 Kms",,First Owner,1197 cc,Manual,2013,1197 cc,85.8 bhp,18.6 kmpl,Petrol,,3850mm,,,,,,,,,,
2016 Maruti Celerio VXI,₹3.15 Lakh,"Sardarnagar, Ahmedabad",Aug 2016,Third Party,Petrol,5 Seats,"64,000 Kms",Ahmedabad,First Owner,998 cc,Manual,2016,,,,,,,,,,,,,,,,
2013 Volkswagen Vento Petrol Highline,₹3 Lakh,"Sardarnagar, Ahmedabad",Aug 2013,Third Party,Petrol,5 Seats,"76,000 Kms",Ahmedabad,First Owner,1598 cc,Manual,2013,1598 cc,103.6 bhp,15.04 kmpl,Petrol,,,,,,,,,,,,
2022 Honda City V MT,₹9.95 Lakh,Ahmedabad,2022,Expired,Petrol,5 Seats,"20,000 Kms",Ahmedabad,First Owner,1498 cc,Manual,2022,1498 cc,119.35 bhp,18.6 kmpl,Petrol,4,,,,,,,,,,,
2014 Ford Figo Petrol EXI,₹1.99 Lakh,"Vasna, Ahmedabad",Feb 2014,Expired,Petrol,5 Seats,"45,200 Kms",Ahmedabad,Second Owner,1196 cc,Manual,2014,1196 cc,70.02 bhp,15.6 kmpl,Petrol,,3795mm,,,,,,,,,,
2014 Honda City i VTEC SV,₹3.86 Lakh,"Mumatpura, Ahmedabad",Jun 2014,Expired,Petrol,5 Seats,"90,866 Kms",Ahmedabad,Second Owner,1497 cc,Manual,2014,1497 cc,117.3 bhp,17.4 kmpl,Petrol,,,,,,,,,,,,
2021 Renault KWID RXT,₹4 Lakh,"Gota, Ahmedabad",Aug 2021,Comprehensive,Petrol,5 Seats,"20,524 Kms",Ahmedabad,First Owner,799 cc,Manual,2021,799 cc,53.3 bhp,25.17 kmpl,Petrol,,3679mm,,,,,,,,,,
2012 Maruti Alto 800 LXi,₹1.10 Lakh,Ahmedabad,2012,Expired,Petrol,5 Seats,"1,50,000 Kms",Sabarkantha,First Owner,796 cc,Manual,2012,,,,,,,,,,,,,,,,
2017 Renault KWID 1.0 AMT RXT,₹3 Lakh,"Gota, Ahmedabad",Jan 2018,Comprehensive,Petrol,5 Seats,"19,947 Kms",Surat,First Owner,999 cc,Automatic,2017,999 cc,67 bhp,24.04 kmpl,Petrol,1,,,,,,,,,,,
2022 Tata Tiago EV XZ Plus Tech LUX LR,₹8.75 Lakh,"Naranpura, Ahmedabad",Apr 2023,Zero Dep,Electric,5 Seats,"32,000 Kms",Ahmedabad,First Owner,,Automatic,2022,,73.75 bhp,,,,,,,,,240 Litres,,315 km,24 kWh,58 Min-25 kW (10-80%),3.6H-7.2 kW (10-100%)
2021 Kia Sonet HTX Turbo iMT,₹7.59 Lakh,"Gota, Ahmedabad",Nov 2021,Comprehensive,Petrol,5 Seats,"69,325 Kms",Kheda,First Owner,998 cc,Automatic,2021,998 cc,118.35 bhp,18.2 kmpl,Petrol,,,,2WD,,,,,,,,
2013 Hyundai i20 Sportz 1.2,₹2.70 Lakh,Ahmedabad,2013,Expired,Petrol,5 Seats,"1,60,000 Kms",,First Owner,1197 cc,Manual,2013,1197 cc,82.85 bhp,18.5 kmpl,Petrol,,3995mm,,,,,,,,,,
2017 Maruti Ignis Zeta,₹4.10 Lakh,"Gota, Ahmedabad",Apr 2017,Comprehensive,Petrol,5 Seats,"70,005 Kms",Vadodara,First Owner,1197 cc,Manual,2017,1197 cc,81.80 bhp,20.89 kmpl,Petrol,,,,,,,260 Litres,,,,,
2010 Hyundai Verna CRDi SX,₹1.40 Lakh,Ahmedabad,2010,Expired,Diesel,5 Seats,"1,50,000 Kms",Junagadh,Second Owner,1493 cc,Manual,2010,1493 cc,,16.8 kmpl,Diesel,,,,,,,,,,,,
2013 Hyundai i20 Era Petrol,₹2.41 Lakh,"Gota, Ahmedabad",Sept 2013,Comprehensive,Petrol,5 Seats,"58,540 Kms",Vadodara,Second Owner,1197 cc,Manual,2013,,,,,,,,,,,,,,,,
2018 Maruti Ignis 1.2 Zeta BSIV,₹3.97 Lakh,"Naroda, Ahmedabad",May 2018,Third Party,Petrol,5 Seats,"55,584 Kms",Ahmedabad,First Owner,1197 cc,Manual,2018,1197 cc,81.80 bhp,20.89 kmpl,Petrol,2,,,,,,,,,,,
2021 BMW 5 Series 520d Luxury Line,₹49 Lakh,"Paldi, Ahmedabad",Feb 2021,Comprehensive,Diesel,5 Seats,"35,000 Kms",Ahmedabad,First Owner,1995 cc,Automatic,2021,1995 cc,187.74 bhp,,Diesel,,,,RWD,235 kmph,,,,,,,
2018 Maruti Swift ZXI,₹5.64 Lakh,"Naranpura Vistar, Ahmedabad",Aug 2018,Third Party,Petrol,5 Seats,"42,000 Kms",Gandhinagar,First Owner,1197 cc,Manual,2018,1197 cc,81.80 bhp,21.21 kmpl,Petrol,2,,,,,,,,,,,
2012 Jaguar XJ 3.0L Premium Luxury,₹12.75 Lakh,"Indirapuram, Ghaziabad",Jul 2012,Expired,Diesel,4 Seats,"72,000 Kms",Ghaziabad,Second Owner,2993 cc,Automatic,2012,2993 cc,271.23 bhp,,Diesel,,,,AWD,250km/hr kmph,,,,,,,
2014 Hyundai i20 Asta 1.2,₹3.85 Lakh,"Mumatpura, Ahmedabad",Dec 2014,Expired,Petrol,5 Seats,"86,570 Kms",Ahmedabad,Second Owner,1197 cc,Manual,2014,1197 cc,81.83 bhp,18.6 kmpl,Petrol,,3985mm,,,,,,,,,,
2022 Maruti Brezza Zxi,₹9.73 Lakh,"Gota, Ahmedabad",Oct 2022,Comprehensive,Petrol,5 Seats,"14,320 Kms",Ahmedabad,First Owner,1462 cc,Manual,2022,1462 cc,101.64 bhp,19.89 kmpl,,,,,FWD,,198 mm,,4 Star,,,,
2020 Maruti Ertiga ZXI Plus,₹9.75 Lakh,"Naranpura, Ahmedabad",Jan 2021,Zero Dep,Petrol,7 Seats,"65,000 Kms",Ahmedabad,First Owner,1462 cc,Manual,2020,1462 cc,103.26 bhp,19.01 kmpl,Petrol,,,7,,,,,,,,,
2017 Mercedes-Benz GLC 220,₹33.90 Lakh,"Chattarpur, New Delhi",Jan 2017,Comprehensive,Diesel,5 Seats,"69,000 Kms",Gurgaon,First Owner,2143 cc,Automatic,2017,2143 cc,170 bhp,,Diesel,,,,AWD,222 kmph,,,,,,,
2020 Renault Duster Petrol RxL,₹6.48 Lakh,"Gota, Ahmedabad",Sept 2020,Comprehensive,Petrol,5 Seats,"61,443 Kms",Tapi,First Owner,1598 cc,Manual,2020,1598 cc,102.53 bhp,13.06 kmpl,,,,,FWD,,205mm,,,,,,
2021 Maruti Alto 800 VXI,₹3.72 Lakh,"Gota, Ahmedabad",Mar 2021,Comprehensive,Petrol,5 Seats,"17,598 Kms",Ahmedabad,First Owner,796 cc,Manual,2021,796 cc,47.3 bhp,24.7 kmpl,Petrol,,3430mm,,,,,,,,,,
2016 Maruti Swift Dzire VXi AT,₹4.93 Lakh,"Gota, Ahmedabad",Sept 2016,Comprehensive,Petrol,5 Seats,"50,767 Kms",Ahmedabad,First Owner,1197 cc,Automatic,2016,1197 cc,83.14 bhp,18.5 kmpl,Petrol,,,,,,,,,,,,
2021 Maruti Celerio ZXI Plus,₹5.07 Lakh,"Gota, Ahmedabad",Nov 2021,Comprehensive,Petrol,5 Seats,"33,377 Kms",Mandvi (Kachchh),First Owner,998 cc,Manual,2021,998 cc,65.71 bhp,24.97 kmpl,Petrol,,,,,,,313 Litres,,,,,
2012 Honda Brio S MT,₹2.70 Lakh,"Gota, Ahmedabad",Mar 2012,Comprehensive,Petrol,5 Seats,"70,421 Kms",Gandhinagar,First Owner,1198 cc,Manual,2012,1198 cc,86.8 bhp,19.4 kmpl,Petrol,,3610mm,,,,,,,,,,
2016 Mahindra KUV 100 mFALCON D75 K8,₹2.60 Lakh,Ahmedabad,Jun 2016,Third Party,Diesel,6 Seats,"87,000 Kms",Ahmedabad,First Owner,1198 cc,Manual,2016,1198 cc,77 bhp,25.32 kmpl,,,,,FWD,,170mm,,,,,,
2017 Honda City i VTEC V,₹6.50 Lakh,Ahmedabad,2017,Expired,Petrol,5 Seats,"60,000 Kms",Ahmedabad,First Owner,1497 cc,Manual,2017,1497 cc,117.3 bhp,17.8 kmpl,Petrol,,,,,,,,,,,,
2019 Toyota Innova Crysta 2.4 VX MT,₹18.50 Lakh,"Naranpura Vistar, Ahmedabad",Oct 2019,Expired,Diesel,7 Seats,"67,000 Kms",Kheda,First Owner,2393 cc,Manual,2019,,,,,,,,,,,,,,,,
2019 Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,₹4.10 Lakh,Ahmedabad,2019,Expired,Petrol,5 Seats,"90,000 Kms",,Second Owner,1197 cc,Manual,2019,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2019 Maruti Alto 800 LXi,₹3.21 Lakh,"Gota, Ahmedabad",Mar 2019,Comprehensive,Petrol,5 Seats,"25,291 Kms",Vadodara,First Owner,796 cc,Manual,2019,796 cc,46.3 bhp,19.7 kmpl,Petrol,,3495mm,,,,,,,,,,
2017 Maruti Alto K10 VXI AGS Optional,₹3.20 Lakh,"Naroda, Ahmedabad",Aug 2017,Expired,Petrol,5 Seats,"69,612 Kms",Banaskantha,First Owner,998 cc,Automatic,2017,998 cc,67.1 bhp,23.95 kmpl,Petrol,,3545mm,,,,,,,,,,
2021 Maruti Wagon R VXI 1.2,₹4.71 Lakh,"Naroda, Ahmedabad",Jan 2022,Expired,Petrol,5 Seats,"33,755 Kms",Ahmedabad,First Owner,1197 cc,Manual,2021,1197 cc,81.80 bhp,20.52 kmpl,Petrol,1,,,,,,,,,,,
2013 Volkswagen Polo Diesel Highline 1.2L,₹3.15 Lakh,"Navrangpura, Ahmedabad",Nov 2013,Expired,Diesel,5 Seats,"65,000 Kms",Gandhinagar,Second Owner,1199 cc,Manual,2013,,,,,,,,,,,,,,,,
2021 Tata Tiago XZA,₹5.51 Lakh,"Gota, Ahmedabad",Sept 2021,Comprehensive,Petrol,5 Seats,"46,647 Kms",Ahmedabad,First Owner,1199 cc,Automatic,2021,1199 cc,83.83 bhp,23.84 kmpl,Petrol,2,,,,,,,,,,,
2014 Maruti Swift ZDi,₹3.65 Lakh,Ahmedabad,Dec 2014,Expired,Diesel,5 Seats,"81,000 Kms",Ahmedabad,First Owner,1248 cc,Manual,2014,1248 cc,74 bhp,22.9 kmpl,Diesel,,3850mm,,,,,,,,,,
2012 Toyota Corolla Altis Diesel D4DG,₹4.25 Lakh,"Navrangpura, Ahmedabad",Feb 2012,Expired,Diesel,5 Seats,"75,000 Kms",Sabarkantha,First Owner,1364 cc,Manual,2012,,,,,,,,,,,,,,,,
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹5.25 Lakh,"Naranpura, Ahmedabad",Dec 2019,Comprehensive,Petrol,5 Seats,"87,000 Kms",Kheda,First Owner,1197 cc,Manual,2019,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2017 Hyundai i20 Magna 1.2,₹4.81 Lakh,"Mumatpura, Ahmedabad",Feb 2017,Third Party,Petrol,5 Seats,"51,675 Kms",Ahmedabad,First Owner,1197 cc,Manual,2017,1197 cc,81.83 bhp,18.6 kmpl,Petrol,,3985mm,,,,,,,,,,
2015 Ford Ecosport 1.5 Ti VCT MT Titanium,₹4.50 Lakh,"Sardarnagar, Ahmedabad",Apr 2016,Third Party,Petrol,5 Seats,"51,000 Kms",Surat,Second Owner,1499 cc,Manual,2015,1499 cc,110 bhp,15.8 kmpl,,,,,FWD,,200mm,,,,,,
2021 Mahindra Thar LX 4WD Convert Top Diesel BSVI,₹11.48 Lakh,"Gota, Ahmedabad",Jul 2021,Comprehensive,Diesel,4 Seats,"37,029 Kms",Ahmedabad,Second Owner,2184 cc,Manual,2021,2184 cc,130 bhp,15.2 kmpl,,,,4,4X4,,226mm,,4 Star,,,,
2016 Hyundai Verna 1.6 CRDi S,₹5.65 Lakh,"Naranpura Vistar, Ahmedabad",Sept 2016,Comprehensive,Diesel,5 Seats,"63,000 Kms",Ahmedabad,First Owner,1582 cc,Manual,2016,1582 cc,126.2 bhp,23.9 kmpl,Diesel,,,,,,,,,,,,
2023 Maruti Wagon R LXI,₹5.40 Lakh,"Mumatpura, Ahmedabad",Jan 2024,Third Party,Petrol,5 Seats,"7,735 Kms",Gandhinagar,First Owner,998 cc,Manual,2023,998 cc,67.05 bhp,21.79 kmpl,Petrol,1,,,,,,,,,,,
2017 Hyundai Tucson 2.0 e-VGT 2WD AT GLS,₹14 Lakh,"Ambli, Ahmedabad",Sept 2017,Expired,Diesel,5 Seats,"74,942 Kms",Ahmedabad,First Owner,1995 cc,Automatic,2017,1995 cc,183 bhp,16.38 kmpl,,,,5,2WD,,195mm,,,,,,
2022 Mahindra XUV700 AX5 7 Str BSVI,₹12.25 Lakh,Ahmedabad,2022,Expired,Petrol,7 Seats,"80,000 Kms",Gandhinagar,Third Owner,1999 cc,Manual,2022,1999 cc,197.13 bhp,13 kmpl,Petrol,,,"5, 6, 7",FWD,,,,,,,,
2012 Hyundai i10 Magna,₹2.45 Lakh,"Naranpura, Ahmedabad",Nov 2012,Expired,Petrol,5 Seats,"49,000 Kms",Navsari,First Owner,1197 cc,Manual,2012,1197 cc,78.9 bhp,20.36 kmpl,Petrol,,3585mm,,,,,,,,,,
2013 Tata Indica Quadrajet LS,₹1.75 Lakh,"Abasana, Ahmedabad",Feb 2013,Third Party,Diesel,5 Seats,"95,000 Kms",Ahmedabad,First Owner,1248 cc,Manual,2013,,,,,,,,,,,,,,,,
2012 Maruti Swift Dzire VXI,₹3.33 Lakh,"Gota, Ahmedabad",Mar 2012,Comprehensive,Petrol,5 Seats,"44,590 Kms",Ahmedabad,First Owner,1197 cc,Manual,2012,1197 cc,83.14 bhp,20.85 kmpl,Petrol,,,,,,,,,,,,
2017 Toyota Fortuner 2.8 4WD AT BSIV,₹22 Lakh,"Ambli, Ahmedabad",Jun 2017,Comprehensive,Diesel,7 Seats,"1,00,000 Kms",Gandhinagar,Second Owner,2755 cc,Automatic,2017,2755 cc,174.5 bhp,15.04 kmpl,,,,7,4WD,,220mm,,,,,,
2016 Tata Indigo LX BSIV,₹100 Thousand,"Sahil Residency, Ahmedabad",Feb 2017,Expired,Diesel,5 Seats,"1,20,000 Kms",Ahmedabad,First Owner,1396 cc,Manual,2016,1396 cc,69 bhp,23.03 kmpl,Diesel,,,,,,,,,,,,
2017 Hyundai EON Era Plus,₹2.40 Lakh,"Sardarnagar, Ahmedabad",Apr 2017,Third Party,Petrol,5 Seats,"42,000 Kms",Ahmedabad,First Owner,814 cc,Manual,2017,814 cc,55.2 bhp,21.1 kmpl,Petrol,,3495mm,,,,,,,,,,
2016 Honda Amaze VX i-Vtech,₹4.51 Lakh,"Mumatpura, Ahmedabad",May 2016,Expired,Petrol,5 Seats,"90,925 Kms",Gandhinagar,First Owner,1198 cc,Manual,2016,1198 cc,86.7 bhp,18 kmpl,Petrol,,,,,,,,,,,,
2014 BMW X1 sDrive20d,₹10.75 Lakh,"Makarba, Ahmedabad",Sept 2014,Comprehensive,Diesel,5 Seats,"77,000 Kms",Ahmedabad,Second Owner,1995 cc,Automatic,2014,1995 cc,184 bhp,,Diesel,,,5,RWD,205 kmph,,,,,,,
2019 Hyundai Creta 1.6 SX Option Executive Diesel,₹9.50 Lakh,Ahmedabad,2019,Expired,Diesel,5 Seats,"1,50,000 Kms",Ahmedabad,First Owner,1582 cc,Manual,2019,1582 cc,126.2 bhp,20.5 kmpl,Diesel,,,5,FWD,,,,,,,,
2018 Mahindra KUV 100 NXT G80 K4 Plus,₹3.11 Lakh,"Sardarnagar, Ahmedabad",May 2018,Expired,Petrol,6 Seats,"53,000 Kms",Ahmedabad,First Owner,1198 cc,Manual,2018,1198 cc,82 bhp,18.15 kmpl,Petrol,2,,,,,,,,,,,
2018 Toyota Innova Crysta 2.4 VX MT 8 STR,₹18.11 Lakh,"Ghatlodia, Ahmedabad",Jun 2018,Expired,Diesel,8 Seats,"78,000 Kms",Ahmedabad,First Owner,2393 cc,Manual,2018,2393 cc,147.51 bhp,,Diesel,3,,7,,,,,,,,,
2015 Honda City i VTEC CVT VX,₹4.25 Lakh,Ahmedabad,Dec 2015,Expired,Petrol,5 Seats,"82,000 Kms",Mandvi (Kachchh),Second Owner,1497 cc,Automatic,2015,1497 cc,117.3 bhp,18 kmpl,Petrol,,,,,,,,,,,,
2014 Hyundai EON D Lite Plus,₹2.25 Lakh,"Naranpura, Ahmedabad",Jul 2014,Comprehensive,Petrol,5 Seats,"33,000 Kms",Ahmedabad,First Owner,814 cc,Manual,2014,814 cc,55.2 bhp,21.1 kmpl,Petrol,,3495mm,,,,,,,,,,
2015 Hyundai i20 Sportz 1.2,₹4.74 Lakh,"Gota, Ahmedabad",Aug 2015,Comprehensive,Petrol,5 Seats,"43,226 Kms",Vadodara,First Owner,1197 cc,Manual,2015,1197 cc,81.83 bhp,18.6 kmpl,Petrol,,3985mm,,,,,,,,,,
2020 Maruti Ertiga 1.5 ZDI Plus,₹10.50 Lakh,"Naranpura Vistar, Ahmedabad",Aug 2020,Comprehensive,Diesel,7 Seats,"58,000 Kms",Ahmedabad,First Owner,1498 cc,Manual,2020,1498 cc,93.87 bhp,24.2 kmpl,Diesel,,,7,,,,,,,,,
2015 Honda Amaze S i-VTEC,₹3.81 Lakh,"Gota, Ahmedabad",Jan 2016,Comprehensive,Petrol,5 Seats,"1,02,229 Kms",Ahmedabad,First Owner,1198 cc,Manual,2015,1198 cc,86.7 bhp,17.8 kmpl,Petrol,,,,,,,,,,,,
2012 Hyundai Verna 1.6 CRDi EX MT,₹2 Lakh,Ahmedabad,2012,Expired,Diesel,5 Seats,"1,60,000 Kms",Ahmedabad,Third Owner,1582 cc,Manual,2012,1582 cc,126.3 bhp,22.32 kmpl,Diesel,,,,,,,,,,,,
2022 Hyundai Santro Magna,₹4.68 Lakh,"Naroda, Ahmedabad",Apr 2022,Zero Dep,Petrol,5 Seats,"5,829 Kms",Kheda,First Owner,1086 cc,Manual,2022,1086 cc,68.05 bhp,20.3 kmpl,Petrol,2,,,,,,,,,,,
2022 Tata Harrier XZA Plus Dark Edition AT 2020-2022,₹14.50 Lakh,Ahmedabad,2022,Expired,Diesel,5 Seats,"90,000 Kms",Ahmedabad,First Owner,1956 cc,Automatic,2022,1956 cc,167.67 bhp,14.6 kmpl,Diesel,6,,5,,,,,,,,,
2013 Toyota Innova 2.5 VX (Diesel) 7 Seater,₹7.75 Lakh,"Naranpura, Ahmedabad",Nov 2013,Comprehensive,Diesel,7 Seats,"85,000 Kms",Ahmedabad,First Owner,2494 cc,Manual,2013,,,,,,,,,,,,,,,,
2014 Nissan Sunny Diesel XV,₹3.45 Lakh,"Ambawadi, Ahmedabad",Feb 2015,Comprehensive,Diesel,5 Seats,"96,042 Kms",Ahmedabad,First Owner,1461 cc,Manual,2014,1461 cc,84.8 bhp,21.64 kmpl,Diesel,,,,,,,,,,,,
2017 Hyundai Grand i10 Magna,₹3.72 Lakh,Ahmedabad,2017,Expired,Petrol,5 Seats,"1,00,000 Kms",Ahmedabad,First Owner,1197 cc,Manual,2017,1197 cc,82 bhp,18.9 kmpl,Petrol,,3765mm,,,,,,,,,,
2018 Honda Amaze VX i DTEC,₹6.02 Lakh,"Gota, Ahmedabad",Dec 2018,Comprehensive,Diesel,5 Seats,"43,580 Kms",Ahmedabad,First Owner,1498 cc,Manual,2018,1498 cc,98.6 bhp,25.8 kmpl,Diesel,,,,,,,,,,,,
2015 Hyundai i20 Asta 1.2,₹5.34 Lakh,"Gota, Ahmedabad",Aug 2015,Comprehensive,Petrol,5 Seats,"53,302 Kms",Gandhinagar,First Owner,1197 cc,Manual,2015,1197 cc,81.83 bhp,18.6 kmpl,Petrol,,3985mm,,,,,,,,,,
2019 Hyundai Verna SX IVT Opt,₹8.56 Lakh,"Mumatpura, Ahmedabad",Apr 2019,Third Party,Petrol,5 Seats,"70,986 Kms",Surat,First Owner,1497 cc,Automatic,2019,1497 cc,113.18 bhp,18.45 kmpl,Petrol,6,,,,,,,,,,,
2014 Maruti Wagon R LXI,₹2.82 Lakh,"Gota, Ahmedabad",Jan 2015,Comprehensive,Petrol,5 Seats,"30,852 Kms",Ahmedabad,Second Owner,998 cc,Manual,2014,998 cc,67.1 bhp,18.9 kmpl,Petrol,,3595mm,,,,,,,,,,
2017 Toyota Innova Crysta 2.8 GX AT BSIV,₹13.95 Lakh,"Makarba, Ahmedabad",Apr 2017,Expired,Diesel,7 Seats,"86,000 Kms",Gandhinagar,First Owner,2755 cc,Automatic,2017,2755 cc,171.5 bhp,,Diesel,3,,7,,,,,,,,,
2020 MG Gloster Savvy 4x2 6Str,₹27.79 Lakh,"Gota, Ahmedabad",Mar 2022,Comprehensive,Diesel,6 Seats,"42,296 Kms",Ahmedabad,First Owner,1996 cc,Automatic,2020,,,,,,,,,,,,,,,,
2014 Honda Amaze E i-Dtech,₹3.70 Lakh,"Makarba, Ahmedabad",Aug 2014,Expired,Diesel,5 Seats,"73,000 Kms",Ahmedabad,First Owner,1498 cc,Manual,2014,1498 cc,98.6 bhp,25.8 kmpl,Diesel,,,,,,,,,,,,
