Power (bhp),Engine Displacement (cc),Year of Manufacture,Registration Year,Fuel Type,Mileage (kmpl),Area,Brand,price (Lakh)
103.0,1462.0,2022,2022,3,19.01,7,18,1090
103.0,1462.0,2018,2018,3,20.04,40,18,649
84.0,1199.0,2022,2022,3,20.3,177,26,719
103.0,1462.0,2020,2020,3,20.04,65,18,770
88.0,999.0,2021,2021,3,18.9,177,24,655
113.0,1353.0,2019,2020,3,16.8,107,13,1135
261.0,2993.0,2022,2022,0,13.38,72,2,80
67.0,998.0,2017,2017,3,23.95,107,18,317
71.0,999.0,2022,2022,3,20.0,40,24,602
117.0,1497.0,2016,2016,3,18.0,11,9,650
88.0,1197.0,2014,2014,3,18.9,53,10,316
68.0,1197.0,2021,2021,0,24.0,177,10,661
197.0,2199.0,2020,2020,0,18.9,6,13,2781
118.0,998.0,2021,2021,3,18.0,48,10,949
340.0,2995.0,2023,2023,3,18.9,99,23,150
115.0,2494.0,2022,2022,3,18.9,7,27,105
261.0,2998.0,2021,2021,0,18.9,54,2,98
118.0,1199.0,2021,2021,3,16.35,84,26,925
88.0,1496.0,2011,2011,3,17.6,177,27,221
113.0,1497.0,2021,2021,3,16.8,27,13,1295
167.0,1956.0,2022,2022,0,13.0,8,16,1599
67.0,998.0,2015,2015,3,20.51,47,18,325
88.0,1199.0,2017,2017,3,19.0,125,9,490
85.0,1197.0,2014,2014,3,19.1,151,18,399
67.0,999.0,2019,2019,3,23.01,53,24,311
113.0,1497.0,2021,2021,3,18.9,11,10,1050
81.0,1197.0,2022,2022,3,17.52,65,10,658
74.0,1248.0,2017,2017,0,27.39,107,18,548
88.0,1373.0,2015,2015,3,18.9,177,18,659
138.0,1349.0,2023,2023,3,14.34,27,16,1511
88.0,1199.0,2016,2016,3,18.7,135,9,499
84.0,1199.0,2021,2021,3,20.3,48,26,681
86.0,1199.0,2022,2022,3,19.33,107,26,753
83.0,1461.0,2014,2014,0,20.45,8,22,385
68.0,1197.0,2022,2022,0,24.0,107,10,704
121.0,1591.0,2016,2016,3,15.29,136,10,695
81.0,1197.0,2018,2018,3,21.21,151,18,575
98.0,1498.0,2013,2014,0,25.8,27,9,474
118.0,998.0,2019,2019,3,18.15,40,10,925
83.0,1197.0,2016,2016,3,21.4,59,18,495
88.0,1199.0,2018,2018,3,18.9,110,9,553
71.0,999.0,2022,2022,3,20.0,177,24,682
187.0,1995.0,2019,2019,0,18.9,27,2,3999
98.0,1498.0,2017,2017,0,25.8,125,9,475
88.0,1248.0,2020,2020,0,24.3,27,18,934
108.0,1498.0,2023,2023,3,14.82,7,16,1375
108.0,1498.0,2022,2022,3,14.82,54,16,1175
168.0,1956.0,2021,2021,0,14.9,8,12,2275
91.0,1373.0,2018,2019,3,17.03,93,18,875
104.0,1498.0,2020,2020,3,14.99,40,24,712
98.0,1498.0,2015,2015,0,26.0,99,9,521
93.0,1373.0,2015,2015,3,16.02,11,18,565
74.0,1248.0,2021,2021,0,27.39,65,18,690
94.0,1194.0,2021,2021,3,18.5,107,8,622
88.0,1248.0,2016,2016,0,24.3,61,18,691
103.0,1462.0,2021,2021,3,18.76,99,18,1050
41.0,1248.0,2023,2023,1,18.9,7,16,685
58.0,998.0,2016,2016,0,32.52,48,18,350
74.0,1248.0,2019,2019,0,27.39,40,18,598
98.0,1498.0,2013,2013,0,22.77,107,8,378
58.0,998.0,2015,2015,0,26.6,99,18,308
150.0,1999.0,2019,2019,3,14.62,27,10,1240
84.0,1199.0,2022,2022,3,20.3,65,26,597
83.0,1197.0,2013,2013,3,20.85,48,18,366
118.0,998.0,2020,2020,3,20.0,107,10,678
88.0,1995.0,2018,2018,0,18.9,48,2,2828
147.0,1498.0,2022,2022,3,17.88,7,28,1590
88.0,1997.0,2024,2024,0,18.9,177,11,71
143.0,1248.0,2023,2023,1,18.9,27,26,1575
113.0,1493.0,2022,2022,0,18.0,8,13,18
81.0,1197.0,2018,2018,3,21.21,151,18,630
71.0,999.0,2023,2023,3,19.17,107,24,705
108.0,1497.0,2019,2019,0,22.07,48,26,761
108.0,1498.0,2023,2023,3,14.85,27,16,14
185.0,1796.0,2011,2011,3,18.9,62,19,695
67.0,998.0,2015,2015,3,21.63,48,18,311
118.0,1199.0,2019,2019,3,16.35,48,26,797
126.0,1582.0,2012,2012,0,22.7,152,10,385
105.0,1396.0,2011,2011,3,17.43,27,10,319
113.0,1497.0,2021,2021,0,24.07,110,26,980
58.0,998.0,2016,2016,0,26.6,151,18,349
93.0,1373.0,2013,2013,3,16.02,11,18,525
88.0,1197.0,2016,2017,3,18.9,151,10,445
88.0,1199.0,2016,2016,3,18.6,65,9,377
81.0,1197.0,2019,2019,3,18.6,172,10,625
325.0,2925.0,2024,2024,0,18.9,70,19,137
88.0,1969.0,2018,2018,0,18.9,21,29,2395
88.0,1396.0,2013,2013,0,21.9,65,10,342
67.0,999.0,2018,2018,3,22.5,27,5,299
141.0,1248.0,2022,2022,1,18.9,7,26,990
91.0,1373.0,2018,2018,3,19.12,27,18,749
126.0,1582.0,2016,2016,0,20.5,177,10,801
88.0,998.0,2023,2023,3,18.9,65,18,542
80.0,1373.0,2015,2015,0,17.5,84,18,675
98.0,999.0,2021,2021,3,18.24,27,24,765
103.0,1462.0,2019,2019,3,20.28,99,18,778
88.0,1086.0,2019,2019,0,18.9,177,10,475
67.0,999.0,2016,2017,3,23.01,177,24,345
81.0,1197.0,2022,2022,3,21.21,107,18,647
120.0,1496.0,2015,2015,3,15.9,27,8,549
81.0,1197.0,2019,2019,3,18.9,40,10,488
82.0,1197.0,2014,2014,3,18.9,66,10,380
136.0,2143.0,2018,2018,0,18.9,11,19,2150
83.0,1197.0,2015,2015,3,20.85,65,18,340
74.0,1248.0,2016,2016,0,27.39,107,18,425
59.0,1086.0,2022,2022,0,30.48,40,10,546
78.0,1197.0,2011,2011,3,16.95,8,10,215
67.0,998.0,2019,2019,3,21.63,107,18,416
88.0,796.0,2022,2022,3,18.9,65,18,412
73.0,1186.0,2021,2021,0,25.4,48,10,7
82.0,1197.0,2014,2014,3,18.9,47,10,385
118.0,998.0,2022,2022,3,18.27,52,10,1025
68.0,1197.0,2021,2021,0,24.0,89,10,625
88.0,1497.0,2012,2012,3,16.8,48,9,353
153.0,1997.0,2015,2015,3,13.7,7,9,655
81.0,1197.0,2022,2022,3,20.52,177,18,575
138.0,1353.0,2020,2020,3,16.2,65,13,1174
197.0,1993.0,2022,2022,0,23.0,52,19,4895
67.0,998.0,2021,2021,3,21.7,65,18,434
108.0,1198.0,2019,2019,3,17.0,151,26,699
103.0,1462.0,2020,2020,3,17.03,84,18,810
141.0,1451.0,2020,2020,3,13.96,7,16,1290
55.0,998.0,2020,2020,0,32.73,177,18,389
88.0,1199.0,2016,2016,3,18.7,177,9,455
100.0,2494.0,2015,2015,0,18.9,32,27,950
81.0,1197.0,2018,2018,3,20.89,107,18,474
98.0,999.0,2022,2022,3,17.4,65,22,785
118.0,998.0,2022,2022,3,20.25,89,10,1145
118.0,998.0,2020,2021,3,18.3,177,13,1075
160.0,1368.0,2019,2019,3,16.0,7,12,1245
187.0,2487.0,2024,2024,3,18.9,89,15,67
83.0,1461.0,2013,2013,0,20.46,95,24,395
86.0,1198.0,2013,2013,3,18.0,7,9,345
81.0,1197.0,2019,2019,3,18.6,107,10,535
191.0,1950.0,2021,2021,0,18.9,72,19,63
47.0,796.0,2022,2022,3,24.7,177,18,411
141.0,1451.0,2019,2019,3,13.96,99,16,12
136.0,2143.0,2015,2015,0,18.9,47,19,1485
116.0,1497.0,2017,2017,3,16.8,107,9,582
189.0,1998.0,2022,2022,3,18.9,52,20,4345
108.0,1498.0,2023,2023,3,14.82,7,16,1325
126.0,1582.0,2014,2016,0,22.32,8,10,485
93.0,1373.0,2013,2013,3,16.02,11,18,520
81.0,1197.0,2021,2021,3,21.21,65,18,641
91.0,1373.0,2017,2017,3,19.12,27,18,570
86.0,1198.0,2015,2016,3,16.5,71,9,311
73.0,1248.0,2022,2022,1,18.9,70,26,745
71.0,1120.0,2015,2015,0,24.4,7,10,375
87.0,1197.0,2023,2023,3,20.0,52,10,975
88.0,1197.0,2013,2013,3,22.41,65,18,324
58.0,998.0,2015,2015,0,26.6,40,18,323
100.0,2494.0,2013,2013,0,18.9,7,27,725
91.0,1462.0,2021,2022,0,26.08,11,18,1049
119.0,1498.0,2014,2014,3,18.6,40,9,522
103.0,1462.0,2021,2021,3,18.43,40,18,942
80.0,1373.0,2014,2014,0,22.8,177,18,575
121.0,1497.0,2018,2018,3,14.8,65,8,675
167.0,1956.0,2022,2022,0,13.0,7,16,1650
81.0,1197.0,2016,2016,3,22.0,61,18,475
167.0,1956.0,2022,2022,0,14.9,7,12,2350
98.0,1498.0,2019,2019,0,25.5,151,9,825
183.0,1997.0,2022,2022,0,18.9,27,10,2890
160.0,1368.0,2017,2017,3,14.1,168,12,1190
113.0,999.0,2021,2021,3,17.2,7,25,1290
93.0,1373.0,2014,2014,3,16.02,11,18,575
187.0,1984.0,2023,2023,3,12.78,54,25,3190
83.0,1197.0,2018,2019,3,21.4,173,18,650
117.0,1497.0,2015,2015,3,17.4,99,9,435
245.0,1999.0,2020,2020,0,18.9,7,14,4850
140.0,1997.0,2014,2014,0,15.1,156,17,665
82.0,1197.0,2016,2016,3,19.1,136,10,449
67.0,999.0,2017,2017,3,24.04,47,24,370
88.0,2143.0,2018,2018,0,18.9,48,19,2192
81.0,1197.0,2015,2015,3,18.6,40,10,472
81.0,1197.0,2017,2017,3,18.6,177,10,501
184.0,1995.0,2014,2014,0,18.9,61,2,1591
67.0,998.0,2011,2011,3,18.9,94,18,225
362.0,2999.0,2021,2021,3,18.9,72,19,155
98.0,1399.0,2016,2016,3,13.7,95,3,375
121.0,1497.0,2017,2017,3,17.0,7,8,545
86.0,1199.0,2023,2023,3,19.33,32,26,840
121.0,1591.0,2015,2015,3,17.1,92,10,449
118.0,998.0,2020,2020,3,18.15,48,10,931
81.0,1197.0,2015,2015,3,18.9,177,10,410
78.0,1197.0,2013,2013,3,20.36,27,10,274
81.0,1197.0,2017,2017,3,18.9,40,10,465
113.0,1497.0,2023,2023,3,17.0,6,10,1350
83.0,1199.0,2019,2019,3,23.84,27,26,515
82.0,1197.0,2016,2016,3,18.9,53,10,332
71.0,999.0,2021,2021,3,20.0,53,24,516
84.0,1199.0,2017,2017,3,23.84,64,26,425
188.0,1968.0,2018,2018,0,18.9,89,1,3695
117.0,1497.0,2016,2016,3,18.0,177,9,490
117.0,1497.0,2017,2017,3,17.8,8,9,665
81.0,1197.0,2018,2018,3,21.21,99,18,613
141.0,1451.0,2023,2023,3,12.34,7,16,1990
115.0,1497.0,2023,2023,0,18.9,177,17,875
85.0,1197.0,2013,2013,3,19.1,94,18,425
88.0,1197.0,2023,2023,3,22.35,32,18,750
118.0,998.0,2020,2020,3,18.27,107,10,8
81.0,1197.0,2017,2017,3,18.9,48,10,406
105.0,1496.0,2018,2018,3,17.8,125,27,660
117.0,1497.0,2015,2015,3,18.0,99,9,550
117.0,1497.0,2016,2016,3,17.8,59,9,535
67.0,998.0,2022,2022,3,21.63,107,18,506
83.0,1197.0,2018,2018,3,21.4,27,18,550
178.0,2157.0,2022,2022,0,12.05,27,17,3350
241.0,1984.0,2021,2021,3,14.11,89,1,4375
149.0,1999.0,2016,2016,3,14.62,84,10,850
127.0,1248.0,2021,2021,1,18.9,32,26,995
99.0,1498.0,2015,2016,0,24.29,98,8,4
261.0,2993.0,2022,2023,0,13.38,21,2,104
75.0,999.0,2012,2012,3,18.78,40,28,257
88.0,1199.0,2019,2019,3,18.2,177,9,675
65.0,998.0,2024,2024,3,24.39,40,18,540
80.0,1373.0,2013,2013,0,17.5,177,18,488
80.0,1197.0,2018,2018,3,24.79,48,18,558
113.0,999.0,2023,2023,3,18.09,27,25,1325
335.0,2998.0,2021,2021,3,10.31,72,2,108
117.0,1497.0,2016,2016,3,18.0,177,9,690
121.0,1591.0,2021,2021,3,15.8,177,10,1041
113.0,999.0,2021,2021,3,19.76,48,25,1383
78.0,1197.0,2017,2017,3,17.71,48,27,429
105.0,1496.0,2018,2018,3,17.8,66,27,695
88.0,1248.0,2016,2017,0,24.3,125,18,675
136.0,2143.0,2014,2014,0,18.9,11,19,1595
100.0,1493.0,2018,2018,0,18.49,177,17,575
157.0,1798.0,2012,2012,3,13.7,95,25,395
88.0,1199.0,2017,2017,3,17.5,7,9,551
103.0,1462.0,2021,2021,3,18.55,107,18,812
81.0,1197.0,2019,2019,3,19.56,27,18,690
74.0,1248.0,2016,2016,0,27.39,107,18,485
74.0,1248.0,2018,2018,0,27.39,40,18,544
83.0,1199.0,2018,2018,3,23.84,7,26,460
110.0,1499.0,2016,2016,3,15.8,48,8,529
81.0,1197.0,2016,2017,3,18.6,107,10,479
121.0,1497.0,2019,2019,0,17.3,99,17,750
91.0,1373.0,2016,2016,3,19.12,177,18,525
81.0,1197.0,2019,2019,3,21.01,48,27,705
113.0,1497.0,2022,2022,3,14.0,177,10,1140
67.0,998.0,2016,2016,3,20.51,71,18,375
118.0,998.0,2021,2021,3,18.27,27,10,9
87.0,1197.0,2023,2023,3,20.0,53,10,819
67.0,998.0,2020,2020,3,21.7,151,18,515
83.0,1197.0,2018,2018,3,21.4,67,18,525
147.0,1498.0,2021,2021,3,18.6,177,25,1170
113.0,1493.0,2021,2021,0,18.0,27,13,1725
113.0,1493.0,2019,2019,0,20.8,66,13,995
